train,test
0.7555312954876273,0.7091114883984154
0.7891921397379913,0.709394453876627
0.8105895196506551,0.7043010752688172
0.825509461426492,0.7045840407470289
0.835334788937409,0.7031692133559706
0.8417394468704512,0.7031692133559706
0.8467976710334789,0.7009054895302773
0.8516375545851529,0.698641765704584
0.8568777292576419,0.7006225240520656
0.8614264919941775,0.6989247311827957
0.8659024745269287,0.6992076966610073
0.8694323144104803,0.6977928692699491
0.8742721979621543,0.6992076966610073
