,sales,device,QTR_IDX_SALES,QTR_IDX_PREV,replyCount_sum,retweetCount_sum,likeCount_sum,quoteCount_sum,sentiment_vader_sum,sentiment_tfidf_sum,sentiment_countvect_sum,sentiment_bert_sum,replyCount_mean,retweetCount_mean,likeCount_mean,quoteCount_mean,sentiment_vader_mean,sentiment_tfidf_mean,sentiment_countvect_mean,sentiment_bert_mean,iphone,ipad,sales_norm
17,40.4,iphone,2016_3,2016_2,236.0,209.0,703.0,56.0,63.0,0.0,0.0,0.0,0.3277777777777778,0.2902777777777778,0.9763888888888888,0.07777777777777778,0.0875,0.0,0.0,0.0,1,0,-0.4939432564874175
18,45.51,iphone,2016_4,2016_3,593.0,858.0,3351.0,55.0,55.0,0.0,0.0,0.0,0.7802631578947369,1.1289473684210527,4.40921052631579,0.07236842105263158,0.07236842105263158,0.0,0.0,0.0,1,0,-0.14314616430865074
19,78.29,iphone,2017_1,2016_4,304.0,136.0,872.0,44.0,97.0,0.0,13.0,0.0,0.4222222222222222,0.18888888888888888,1.2111111111111108,0.06111111111111111,0.13472222222222222,0.0,0.018055555555555557,0.0,1,0,2.107172560078821
20,50.76,iphone,2017_2,2017_1,234.0,131.0,1413.0,40.0,85.0,0.0,0.0,0.0,0.325,0.18194444444444444,1.9625,0.05555555555555555,0.11805555555555555,0.0,0.0,0.0,1,0,0.21726180710789053
21,41.03,iphone,2017_3,2017_2,252.0,139.0,942.0,39.0,114.0,0.0,0.0,0.0,0.35,0.1930555555555556,1.3083333333333331,0.05416666666666667,0.15833333333333333,0.0,0.0,0.0,1,0,-0.4506942999174324
22,46.68,iphone,2017_4,2017_3,241.0,136.0,751.0,45.0,104.0,0.0,0.0,0.0,0.3171052631578947,0.17894736842105266,0.988157894736842,0.05921052631578948,0.1368421052631579,0.0,0.0,0.0,1,0,-0.06282667353582141
23,77.32,iphone,2018_1,2017_4,371.0,221.0,2138.0,33.0,65.0,0.0,0.0,0.0,0.5152777777777777,0.3069444444444445,2.969444444444445,0.04583333333333333,0.09027777777777778,0.0,0.0,0.0,1,0,2.040582896788526
24,52.22,iphone,2018_2,2018_1,461.0,388.0,6410.0,59.0,64.0,0.0,0.0,0.0,0.6402777777777777,0.5388888888888889,8.902777777777779,0.08194444444444443,0.08888888888888889,0.0,0.0,0.0,1,0,0.3174895477303954
25,41.3,iphone,2018_3,2018_2,341.0,186.0,2264.0,79.0,135.0,0.0,0.0,0.0,0.4736111111111111,0.25833333333333336,3.1444444444444444,0.10972222222222222,0.1875,0.0,0.0,0.0,1,0,-0.43215903281601054
26,46.89,iphone,2018_4,2018_3,435.0,192.0,3232.0,45.0,117.0,0.0,0.0,0.0,0.5723684210526315,0.25263157894736843,4.252631578947368,0.05921052631578948,0.15394736842105264,0.0,0.0,0.0,1,0,-0.04841035467915971
27,11.8,ipad,2012_2,2012_1,406.0,41.0,60.0,0.0,190.0,7.0,24.0,31.0,0.5638888888888889,0.056944444444444436,0.08333333333333333,0.0,0.2638888888888889,0.009722222222222222,0.03333333333333333,0.04305555555555556,0,1,-0.42605561202574316
28,17.04,ipad,2012_3,2012_2,227.0,43.0,30.0,0.0,198.0,0.0,54.0,9.0,0.31527777777777777,0.05972222222222224,0.04166666666666666,0.0,0.275,0.0,0.075,0.0125,0,1,0.7558727799233179
29,14.04,ipad,2012_4,2012_3,266.0,103.0,48.0,0.0,199.0,0.0,5.0,15.0,0.35,0.1355263157894737,0.06315789473684211,0.0,0.2618421052631579,0.0,0.006578947368421052,0.01973684210526316,0,1,0.07919621964713769
30,22.86,ipad,2013_1,2012_4,190.0,97.0,61.0,0.0,142.0,0.0,29.0,7.0,0.2638888888888889,0.13472222222222222,0.08472222222222223,0.0,0.19722222222222224,0.0,0.04027777777777778,0.009722222222222222,0,1,2.0686253068591074
31,19.48,ipad,2013_2,2013_1,211.0,185.0,199.0,0.0,160.0,0.0,16.0,7.0,0.29346314325452016,0.2573018080667594,0.2767732962447844,0.0,0.22253129346314326,0.0,0.022253129346314324,0.009735744089012515,0,1,1.3062363822812781
32,14.62,ipad,2013_3,2013_2,192.0,64.0,107.0,0.0,103.0,0.0,26.0,0.0,0.26666666666666666,0.08888888888888889,0.1486111111111111,0.0,0.14305555555555555,0.0,0.036111111111111115,0.0,0,1,0.21002035463386587
33,14.08,ipad,2013_4,2013_3,217.0,74.0,233.0,0.0,111.0,0.0,0.0,0.0,0.2855263157894737,0.09736842105263158,0.30657894736842106,0.0,0.14605263157894738,0.0,0.0,0.0,0,1,0.08821857378415363
34,26.04,ipad,2014_1,2013_4,215.0,265.0,289.0,0.0,140.0,0.0,13.0,8.0,0.2986111111111111,0.3680555555555556,0.4013888888888889,0.0,0.19444444444444445,0.0,0.018055555555555557,0.011111111111111113,0,1,2.7859024607518585
35,16.35,ipad,2014_2,2014_1,187.0,75.0,220.0,0.0,139.0,0.0,0.0,13.0,0.25972222222222224,0.10416666666666667,0.3055555555555556,0.0,0.1930555555555556,0.0,0.0,0.018055555555555557,0,1,0.6002371710597969
36,13.28,ipad,2014_3,2014_2,169.0,408.0,308.0,0.0,100.0,0.0,0.0,0.0,0.23472222222222225,0.5666666666666667,0.42777777777777776,0.0,0.1388888888888889,0.0,0.0,0.0,0,1,-0.09222850895616125
37,12.32,ipad,2014_4,2014_3,150.0,468.0,308.0,1.0,235.0,61.0,105.0,127.0,0.1973684210526316,0.6157894736842106,0.4052631578947368,0.0013157894736842105,0.3092105263157895,0.08026315789473684,0.13815789473684212,0.16710526315789473,0,1,-0.30876500824453873
38,21.42,ipad,2015_1,2014_4,179.0,372.0,396.0,0.0,159.0,0.0,0.0,0.0,0.2489568845618915,0.5173852573018081,0.5507649513212796,0.0,0.2211404728789986,0.0,0.0,0.0,0,1,1.7438205579265416
39,12.62,ipad,2015_2,2015_1,230.0,192.0,399.0,1.0,120.0,0.0,0.0,0.0,0.3194444444444444,0.26666666666666666,0.5541666666666667,0.0013888888888888892,0.16666666666666666,0.0,0.0,0.0,0,1,-0.2410973522169209
40,10.93,ipad,2015_3,2015_2,231.0,99.0,494.0,0.0,111.0,0.0,0.0,0.0,0.32083333333333336,0.1375,0.6861111111111111,0.0,0.15416666666666667,0.0,0.0,0.0,0,1,-0.6222918145058357
41,9.88,ipad,2015_4,2015_3,243.0,171.0,826.0,0.0,126.0,0.0,2.0,0.0,0.31973684210526315,0.225,1.0868421052631578,0.0,0.16578947368421051,0.0,0.002631578947368421,0.0,0,1,-0.8591286106024985
42,16.12,ipad,2016_1,2015_4,227.0,50.0,349.0,0.0,132.0,0.0,0.0,0.0,0.31527777777777777,0.06944444444444445,0.4847222222222222,0.0,0.18333333333333326,0.0,0.0,0.0,0,1,0.5483586347719563
