,sales,device,QTR_IDX_SALES,QTR_IDX_PREV,replyCount_sum,retweetCount_sum,likeCount_sum,quoteCount_sum,replyCount_mean,retweetCount_mean,likeCount_mean,quoteCount_mean
65,5.52,mac,2015_1,2014_4,211,46,313,0,0.29305555555555557,0.06388888888888888,0.43472222222222223,0.0
66,4.56,mac,2015_2,2015_1,286,239,687,0,0.3972222222222222,0.33194444444444443,0.9541666666666667,0.0
67,4.8,mac,2015_3,2015_2,234,182,674,0,0.325,0.25277777777777777,0.9361111111111111,0.0
68,5.71,mac,2015_4,2015_3,269,89,753,0,0.3539473684210526,0.11710526315789474,0.9907894736842106,0.0
69,5.31,mac,2016_1,2015_4,286,65,504,1,0.3972222222222222,0.09027777777777778,0.7,0.001388888888888889
70,4.03,mac,2016_2,2016_1,264,74,498,0,0.36666666666666664,0.10277777777777777,0.6916666666666667,0.0
71,4.25,mac,2016_3,2016_2,300,82,715,4,0.4166666666666667,0.11388888888888889,0.9930555555555556,0.005555555555555556
72,4.89,mac,2016_4,2016_3,258,132,1247,39,0.3394736842105263,0.1736842105263158,1.6407894736842106,0.05131578947368421
73,5.37,mac,2017_1,2016_4,302,67,798,24,0.41944444444444445,0.09305555555555556,1.1083333333333334,0.03333333333333333
74,4.2,mac,2017_2,2017_1,303,130,1384,29,0.42083333333333334,0.18055555555555555,1.9222222222222223,0.04027777777777778
75,4.29,mac,2017_3,2017_2,317,241,2698,53,0.44027777777777777,0.3347222222222222,3.7472222222222222,0.07361111111111111
76,5.39,mac,2017_4,2017_3,371,73,1069,25,0.4881578947368421,0.09605263157894736,1.4065789473684212,0.03289473684210526
77,5.11,mac,2018_1,2017_4,420,98,1420,40,0.5833333333333334,0.1361111111111111,1.9722222222222223,0.05555555555555555
78,4.08,mac,2018_2,2018_1,443,73,1065,31,0.6152777777777778,0.10138888888888889,1.4791666666666667,0.043055555555555555
79,3.72,mac,2018_3,2018_2,399,116,1210,35,0.5541666666666667,0.16111111111111112,1.6805555555555556,0.04861111111111111
80,5.3,mac,2018_4,2018_3,1200,274,5655,74,1.5789473684210527,0.3605263157894737,7.440789473684211,0.09736842105263158
